,Forecast,Lower CI,Upper CI
2026-06-30,411.8399963378906,397.5088381001826,426.1711545755987
2026-07-01,411.8399963378906,391.5726779936145,432.10731468216676
2026-07-02,411.8399963378906,387.01770213888005,436.6622905369012
2026-07-03,411.8399963378906,383.17767986248623,440.502312813295
2026-07-06,411.8399963378906,379.7945523220833,443.88544035369796
2026-07-07,411.8399963378906,376.73597123243803,446.9440214433432
2026-07-08,411.8399963378906,373.9233156414181,449.7566770343631
2026-07-09,411.8399963378906,371.30535964934666,452.3746330264346
2026-07-10,411.8399963378906,368.8465216247873,454.833471050994
2026-07-13,411.8399963378906,366.52089479847064,457.1590978773106
2026-07-14,411.8399963378906,364.3089216522256,459.37107102355566
2026-07-15,411.8399963378906,362.1954079398762,461.48458473590506
2026-07-16,411.8399963378906,360.16827047507206,463.5117222007092
2026-07-17,411.8399963378906,358.21771225677116,465.4622804190101
2026-07-20,411.8399963378906,356.3356591514123,467.34433352436895
2026-07-21,411.8399963378906,354.5153633870877,469.16462928869356
2026-07-22,411.8399963378906,352.75111718640994,470.9288754893713
2026-07-23,411.8399963378906,351.038041305077,472.64195137070425
2026-07-24,411.8399963378906,349.371925835863,474.30806683991824
2026-07-27,411.8399963378906,347.7491083062812,475.93088436950006
2026-07-28,411.8399963378906,346.1663789172376,477.51361375854367
2026-07-29,411.8399963378906,344.62090588325634,479.0590867925249
2026-07-30,411.8399963378906,343.11017589594337,480.5698167798379
2026-07-31,411.8399963378906,341.6319461269902,482.04804654879104
2026-08-03,411.8399963378906,340.1842051493878,483.4957875263934
2026-08-04,411.8399963378906,338.7651408314695,484.9148518443117
2026-08-05,411.8399963378906,337.37311374087085,486.3068789349104
2026-08-06,411.8399963378906,336.00663494495006,487.6733577308312
2026-08-07,411.8399963378906,334.66434735075006,489.0156453250312
2026-08-10,411.8399963378906,333.34500991824507,490.3349827575362
2026-08-11,411.8399963378906,332.04748422394385,491.6325084518374
2026-08-12,411.8399963378906,330.77072296080684,492.9092697149744
2026-08-13,411.8399963378906,329.51376004397065,494.1662326318106
2026-08-14,411.8399963378906,328.27570205644315,495.4042906193381
2026-08-17,411.8399963378906,327.0557208194293,496.6242718563519
2026-08-18,411.8399963378906,325.85304691168784,497.8269457640934
2026-08-19,411.8399963378906,324.6669639938316,499.01302868194966
2026-08-20,411.8399963378906,323.49680381864573,500.1831888571355
2026-08-21,411.8399963378906,322.34194182872056,501.3380508470607
2026-08-24,411.8399963378906,321.2017932590543,502.47819941672697
2026-08-25,411.8399963378906,320.0758096755855,503.60418300019575
2026-08-26,411.8399963378906,318.9634758915023,504.71651678427895
2026-08-27,411.8399963378906,317.8643072121258,505.8156854636554
2026-08-28,411.8399963378906,316.7778469665641,506.90214570921717
2026-08-31,411.8399963378906,315.7036642904779,507.97632838530336
2026-09-01,411.8399963378906,314.64135212942233,509.0386405463589
2026-09-02,411.8399963378906,313.59052543652444,510.0894672392568
2026-09-03,411.8399963378906,312.5508195418651,511.12917313391614
2026-09-04,411.8399963378906,311.52188867398775,512.1581040017935
2026-09-07,411.8399963378906,310.5034046165365,513.1765880592448
2026-09-08,411.8399963378906,309.49505548523086,514.1849371905504
2026-09-09,411.8399963378906,308.4965446122567,515.1834480635246
2026-09-10,411.8399963378906,307.5075895267639,516.1724031490173
2026-09-11,411.8399963378906,306.52792102154126,517.15207165424
2026-09-14,411.8399963378906,305.5572822971284,518.1227103786529
2026-09-15,411.8399963378906,304.5954281756548,519.0845645001265
2026-09-16,411.8399963378906,303.64212437758613,520.0378682981951
2026-09-17,411.8399963378906,302.697146855332,520.9828458204493
2026-09-18,411.8399963378906,301.7602811783461,521.9197114974352
2026-09-21,411.8399963378906,300.83132196493693,522.8486707108443
2026-09-22,411.8399963378906,299.91007235652415,523.769920319257
2026-09-23,411.8399963378906,298.9963435305285,524.6836491452527
2026-09-24,411.8399963378906,298.0899542484809,525.5900384273003
2026-09-25,411.8399963378906,297.19073043628754,526.4892622394937
2026-09-28,411.8399963378906,296.29850479389813,527.3814878818831
2026-09-29,411.8399963378906,295.4131164318977,528.2668762438835
2026-09-30,411.8399963378906,294.5344105327871,529.1455821429942
2026-10-01,411.8399963378906,293.662238034932,530.0177546408493
2026-10-02,411.8399963378906,292.79645533735373,530.8835373384275
2026-10-05,411.8399963378906,291.9369240237063,531.743068652075
2026-10-06,411.8399963378906,291.08351060393716,532.5964820718441
2026-10-07,411.8399963378906,290.236086272266,533.4439064035153
2026-10-08,411.8399963378906,289.39452668024046,534.2854659955408
2026-10-09,411.8399963378906,288.55871172373463,535.1212809520466
2026-10-12,411.8399963378906,287.72852534285914,535.9514673329221
2026-10-13,411.8399963378906,286.9038553338379,536.7761373419434
2026-10-14,411.8399963378906,286.0845931719887,537.5953995037926
2026-10-15,411.8399963378906,285.2706338450166,538.4093588307646
2026-10-16,411.8399963378906,284.46187569589597,539.2181169798853
2026-10-19,411.8399963378906,283.65822027467425,540.021772401107
2026-10-20,411.8399963378906,282.85957219858744,540.8204204771938
2026-10-21,411.8399963378906,282.0658390199232,541.614153655858
2026-10-22,411.8399963378906,281.2769311011149,542.4030615746664
2026-10-23,411.8399963378906,280.49276149658704,543.1872311791942
2026-10-26,411.8399963378906,279.71324584091303,543.9667468348682
2026-10-27,411.8399963378906,278.93830224287706,544.7416904329042
2026-10-28,411.8399963378906,278.16785118506317,545.512141490718
2026-10-29,411.8399963378906,277.40181542862445,546.2781772471568
2026-10-30,411.8399963378906,276.640119922908,547.0398727528732
2026-11-02,411.8399963378906,275.88269171963714,547.7973009561441
2026-11-03,411.8399963378906,275.12945989137313,548.5505327844081
2026-11-04,411.8399963378906,274.3803554539985,549.2996372217827
2026-11-05,411.8399963378906,273.63531129298127,550.0446813828
2026-11-06,411.8399963378906,272.89426209319856,550.7857305825827
2026-11-09,411.8399963378906,272.1571442721106,551.5228484036707
2026-11-10,411.8399963378906,271.42389591609214,552.2560967596892
2026-11-11,411.8399963378906,270.69445671974114,552.9855359560402
2026-11-12,411.8399963378906,269.9687679279956,553.7112247477856
2026-11-13,411.8399963378906,269.24677228090184,554.4332203948794
2026-11-16,411.8399963378906,268.5284139608873,555.151578714894
2026-11-17,411.8399963378906,267.81363854240027,555.866354133381
2026-11-18,411.8399963378906,267.1023929437878,556.5775997319935
2026-11-19,411.8399963378906,266.3946253812919,557.2853672944893
2026-11-20,411.8399963378906,265.6902853250507,557.9897073507306
2026-11-23,411.8399963378906,264.98932345699905,558.6906692187822
2026-11-24,411.8399963378906,264.291691630569,559.3883010452123
2026-11-25,411.8399963378906,263.5973428320975,560.0826498436837
2026-11-26,411.8399963378906,262.90623114385335,560.7737615319279
2026-11-27,411.8399963378906,262.21831170860094,561.4616809671803
2026-11-30,411.8399963378906,261.5335406956241,562.1464519801572
2026-12-01,411.8399963378906,260.85187526813684,562.8281174076444
2026-12-02,411.8399963378906,260.1732735520117,563.5067191237695
2026-12-03,411.8399963378906,259.49769460576294,564.1822980700183
2026-12-04,411.8399963378906,258.8250983917212,564.85489428406
2026-12-07,411.8399963378906,258.15544574834485,565.5245469274364
2026-12-08,411.8399963378906,257.48869836361166,566.1912943121696
2026-12-09,411.8399963378906,256.82481874944074,566.8551739263405
2026-12-10,411.8399963378906,256.1637702170964,567.5162224586849
2026-12-11,411.8399963378906,255.5055168535278,568.1744758222535
2026-12-14,411.8399963378906,254.85002349860176,568.8299691771795
2026-12-15,411.8399963378906,254.1972557231872,569.482736952594
2026-12-16,411.8399963378906,253.54717980805353,570.1328128677277
2026-12-17,411.8399963378906,252.89976272354528,570.7802299522359
2026-12-18,411.8399963378906,252.25497210999924,571.425020565782
2026-12-21,411.8399963378906,251.61277625887072,572.0672164169105
2026-12-22,411.8399963378906,250.9731440945379,572.7068485812433
